Sat Oct 22 22:01:19 UTC 2022 audit_auditd_enabled passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:20 UTC 2022 audit_flags_aa_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:20 UTC 2022 audit_flags_ad_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:21 UTC 2022 audit_flags_ex_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:21 UTC 2022 audit_flags_fd_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:22 UTC 2022 audit_flags_fm_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:22 UTC 2022 audit_flags_fr_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:22 UTC 2022 audit_flags_fw_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:23 UTC 2022 audit_flags_lo_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:23 UTC 2022 audit_retention_configure passed (Result: 7d, Expected: {string: 7d})
Sat Oct 22 22:01:23 UTC 2022 icloud_addressbook_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:24 UTC 2022 icloud_appleid_prefpane_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:24 UTC 2022 icloud_bookmarks_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:24 UTC 2022 icloud_calendar_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:25 UTC 2022 icloud_drive_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:25 UTC 2022 icloud_keychain_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:26 UTC 2022 icloud_mail_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:26 UTC 2022 icloud_notes_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:27 UTC 2022 icloud_photos_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:27 UTC 2022 icloud_reminders_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:28 UTC 2022 icloud_sync_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:28 UTC 2022 os_airdrop_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:28 UTC 2022 os_apple_mobile_file_integrity_enforce passed (Result: 0, Expected: {integer: 0})
Sat Oct 22 22:01:29 UTC 2022 os_appleid_prompt_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:29 UTC 2022 os_bonjour_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:30 UTC 2022 os_calendar_app_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:30 UTC 2022 os_config_data_install_enforce passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:30 UTC 2022 os_directory_services_configured failed (Result: 1, Expected: {integer: 0})
Sat Oct 22 22:01:31 UTC 2022 os_facetime_app_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:31 UTC 2022 os_firewall_log_enable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:31 UTC 2022 os_gatekeeper_enable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:32 UTC 2022 os_gatekeeper_rearm passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:32 UTC 2022 os_handoff_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:33 UTC 2022 os_httpd_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:33 UTC 2022 os_icloud_storage_prompt_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:33 UTC 2022 os_internet_accounts_prefpane_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:34 UTC 2022 os_ir_support_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:34 UTC 2022 os_mail_app_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:35 UTC 2022 os_mdm_require failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 22:01:35 UTC 2022 os_messages_app_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:35 UTC 2022 os_nfsd_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:36 UTC 2022 os_parental_controls_enable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:36 UTC 2022 os_password_autofill_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:36 UTC 2022 os_password_proximity_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:37 UTC 2022 os_password_sharing_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:37 UTC 2022 os_privacy_setup_prompt_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:38 UTC 2022 os_siri_prompt_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:38 UTC 2022 os_tftpd_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:38 UTC 2022 os_time_server_enabled passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:39 UTC 2022 os_touchid_prompt_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:39 UTC 2022 os_uucp_disable passed (Result: 1, Expected: {integer: 1})
XPath set is empty
Sat Oct 22 22:01:39 UTC 2022 pwpolicy_account_inactivity_enforce failed (Result: , Expected: {integer: 35})
Sat Oct 22 22:01:40 UTC 2022 pwpolicy_account_lockout_enforce passed (Result: yes, Expected: {string: yes})
Sat Oct 22 22:01:40 UTC 2022 pwpolicy_account_lockout_timeout_enforce passed (Result: yes, Expected: {string: yes})
Sat Oct 22 22:01:40 UTC 2022 pwpolicy_alpha_numeric_enforce passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:41 UTC 2022 pwpolicy_history_enforce passed (Result: yes, Expected: {string: yes})
XPath set is empty
