Sat Oct 22 19:59:01 UTC 2022 Beginning cisv8 baseline scan
Sat Oct 22 19:59:02 UTC 2022 audit_auditd_enabled passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 19:59:02 UTC 2022 audit_flags_aa_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 19:59:03 UTC 2022 audit_flags_ad_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:03 UTC 2022 audit_flags_ex_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:03 UTC 2022 audit_flags_fd_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:04 UTC 2022 audit_flags_fm_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:04 UTC 2022 audit_flags_fr_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:04 UTC 2022 audit_flags_fw_configure failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:05 UTC 2022 audit_flags_lo_configure passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 19:59:05 UTC 2022 audit_retention_configure failed (Result: 10M, Expected: {string: 7d})
Sat Oct 22 19:59:06 UTC 2022 icloud_addressbook_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:06 UTC 2022 icloud_appleid_prefpane_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:07 UTC 2022 icloud_bookmarks_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:07 UTC 2022 icloud_calendar_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:07 UTC 2022 icloud_drive_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:08 UTC 2022 icloud_keychain_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:08 UTC 2022 icloud_mail_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:09 UTC 2022 icloud_notes_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:09 UTC 2022 icloud_photos_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:10 UTC 2022 icloud_reminders_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:10 UTC 2022 icloud_sync_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:11 UTC 2022 os_airdrop_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:11 UTC 2022 os_apple_mobile_file_integrity_enforce passed (Result: 0, Expected: {integer: 0})
Sat Oct 22 19:59:11 UTC 2022 os_appleid_prompt_disable failed (Result: , Expected: {string: true})
Sat Oct 22 19:59:12 UTC 2022 os_bonjour_disable failed (Result: , Expected: {string: true})
