Tue Oct 25 19:17:08 UTC 2022 audit_acls_files_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:08 UTC 2022 audit_acls_folders_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:09 UTC 2022 audit_auditd_enabled passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:09 UTC 2022 audit_control_acls_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:09 UTC 2022 audit_control_group_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:09 UTC 2022 audit_control_mode_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:09 UTC 2022 audit_control_owner_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:09 UTC 2022 audit_files_group_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:10 UTC 2022 audit_files_mode_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:10 UTC 2022 audit_files_owner_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:10 UTC 2022 audit_flags_aa_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:11 UTC 2022 audit_flags_ad_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:11 UTC 2022 audit_flags_ex_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:11 UTC 2022 audit_flags_fm_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:11 UTC 2022 audit_flags_fr_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:12 UTC 2022 audit_flags_fw_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:12 UTC 2022 audit_flags_lo_configure passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:12 UTC 2022 audit_folder_group_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:12 UTC 2022 audit_folder_owner_configure passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:12 UTC 2022 audit_folders_mode_configure passed (Result: 700, Expected: {integer: 700})
Tue Oct 25 19:17:12 UTC 2022 audit_retention_configure passed (Result: 60d OR 1G, Expected: {string: 60d or 1g})
Tue Oct 25 19:17:13 UTC 2022 icloud_sync_disable passed (Result: false, Expected: {string: false})
Tue Oct 25 19:17:13 UTC 2022 os_airdrop_disable passed (Result: false, Expected: {string: false})
Tue Oct 25 19:17:13 UTC 2022 os_authenticated_root_enable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:13 UTC 2022 os_bonjour_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 19:17:14 UTC 2022 os_config_data_install_enforce passed (Result: true, Expected: {string: true})
Tue Oct 25 19:17:14 UTC 2022 os_efi_integrity_validated failed (Result: 0, Expected: {integer: 1})
Tue Oct 25 19:17:14 UTC 2022 os_firewall_log_enable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:14 UTC 2022 os_gatekeeper_enable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 19:17:14 UTC 2022 os_guest_folder_removed passed (Result: 0, Expected: {integer: 0})
Tue Oct 25 19:17:15 UTC 2022 os_hibernate_mode_destroyfvkeyonstandby_enable passed (Result: true, Expected: {string: true})
